video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ebZwyWG3JgA&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@EurekaTravelExplorer-iv3iv,Eureka Travel Explorer,Montenegro: Europe’s Biggest Surprise | 4K Travel Documentary,566K,1 year,"Discover why Montenegro is Europe's biggest surprise—where dramatic cliffs, ancient towns, and wild nature come together in ...",2026-01-17 02:31:04.376367
/watch?v=uz0UCZkPqbA&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@RickStevesEuropeOfficial,Rick Steves' Europe,European Travel Skills Part I,759K,11 years,"Rick Steves' Europe Travel Guide © 2012 | In this first of three shows covering travel skills and tips, we'll visit the Netherlands and ...",2026-01-17 02:31:04.378149
/shorts/Y866EsRLOBs,/@lukepatricktravelstories,Luke Patrick: Travel Stories,Why Eastern Europe is better than Western Europe 🌍,2.3M,1 year,Every couple of months I post another version of this video so that the people that started following me get a better idea of my ...,2026-01-17 02:31:04.380211
/shorts/qfUCO21QhXM,/@alexanderjamestravel,Freedom ,How much does it cost to backpack in Europe?,375K,3 years,... it costed me to backpack throughout europe for a whole month i bought a new ticket home and skipped on my round trip which ...,2026-01-17 02:31:04.383777
/watch?v=y6E1L6KVwYw&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@touropia,touropia,17 Most Beautiful Countries in Europe - Travel Video,4.1M,3 years,Check out all the places seen in this video: https://www.touropia.com/best-countries-to-visit-in-europe/ Packed full of incredible ...,2026-01-17 02:31:04.385515
/watch?v=TxlZyOBE60s&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@alexanderjamestravel,Freedom ,Flying to Europe with No Plan. | Ultimate Freedom,227K,3 years,These past few days have been absolutely nuts.,2026-01-17 02:31:04.386835
/watch?v=BApl8WcaDCM&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@Baydeann,Bailey Dean,"ULTIMATE GUIDE TO BACKPACKING AROUND EUROPE | what it costs, budget travel tips, how to find hostels",155K,2 years,How to ACTUALLY Travel in your 20s- ...,2026-01-17 02:31:04.388509
/watch?v=2LtZitVvECw&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@HappytoWander,Happy to Wander (Travel Tips & Inspo),HOW TO TRAVEL EUROPE BY TRAIN | A Step by Step Guide for Beginners,223K,2 years,"1st timer confused about how to take trains in Europe? This Europe train travel guide was created with beginners in mind, with a ...",2026-01-17 02:31:04.391329
/shorts/nBAWV9iXcD4,/@SloaneLyra,Sloane Lyra,🔴 BEWARE: Pickpockets with big bags in Europe! #Pickpocket #Travel #Europe #Viral #Trending #Shorts,8.2M,1 year,"BEWARE: Pickpockets with Big Bags in Rome - Watch Out! Travelers to Rome and other European cities, beware! Pickpockets ...",2026-01-17 02:31:04.393595
/watch?v=0xhzwDXfLds&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@ScenicRelaxationFilms,Scenic Relaxation,Europe 4K - Scenic Relaxation Film With Calming Music,7.6M,3 years,"Europe's beauty, history, and wonder are unmatched to the rest of the world. Enjoy this 4K Scenic Relaxation film featuring every ...",2026-01-17 02:31:04.395375
/watch?v=5dqrOSk-Wyk&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@RickStevesEuropeOfficial,Rick Steves' Europe,Rick Steves' Cruising the Mediterranean,10M,6 years,"Rick Steves' Europe Travel Guide © 2018 | In this one-hour special, Rick sails from Barcelona to Athens, with stops in the French ...",2026-01-17 02:31:04.399173
/shorts/vhfHZNlbzqk,/@lukepatricktravelstories,Luke Patrick: Travel Stories,Cities that made me realize Eastern Europe is better,334K,7 months,"On my Instagram page, I promote Eastern Europe—not because I get paid for it, but because I genuinely fell in love with it.",2026-01-17 02:31:12.585918
/watch?v=LxtsWXNt3nU&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@LucasTJahn,Lucas T. Jahn,GERMANY TRAVEL DOCUMENTARY | Heart of Europe 🇩🇪,264K,1 year,ITINERARY + GPS TRACKS - https://payhip.com/b/kW0jY ▻▻ REISEROUTE + GPS TRACKS - https://payhip.com/b/gCsJ6 Follow ...,2026-01-17 02:31:12.587012
/watch?v=jDZD3pVkpX8&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@EpicExplorationsTVEN,EpicExplorationsTV EN,Most Beautiful Winter Places in Europe | 4K Travel Guide,488K,1 year,Discover the most beautiful places in Europe during winter with this extraordinary journey through 50 unmissable destinations ...,2026-01-17 02:31:12.587989
/shorts/3zF2ZwLU_eI,/@royaventurera,Roya,traveling to Europe vs the US #usa #american #europe #cultureshock #travel #humor,9.5M,1 year,Sport here you go and what is the purpose of your visit just tourism and how long will you stay using all my vacation for this trip so ...,2026-01-17 02:31:12.589223
/shorts/W-VWjhyKiDQ,/@JackSucksAtGeography,JackSucksAtGeography,"Americans travelling to ""Europe""",2.4M,5 months,"Americans travelling to ""Europe""",2026-01-17 02:31:12.589921
/watch?v=3HYoyrAw9b4&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@LearningCanteen,Learning Canteen,10 Best Cheap European Vacations,8.1K,11 months,Where are the best cheap European vacations? We will bring the 10 best cheap European vacations to your viewing pleasure. 10.,2026-01-17 02:31:12.590542
/watch?v=XgyVzBuOUlc&t=768s&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@alysmalls,Aly Smalls,2 Weeks in Europe: Budapest to Prague & Secret Stops Between,107K,5 months,Download the Saily app or go to https://saily.com/alysmalls and use code ALYSMALLS at checkout (scroll down for all other links ...,2026-01-17 02:31:12.591870
/watch?v=vIQYaUFqymU&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@awaytogether,Away Together w/ Nik and Allie,AVOID These Europe Travel Mistakes in 2026 (I wish we had),168K,6 months,"Traveling Europe in 2026 feels different. Avoid these 10 travel mistakes that could cost you money, add unnecessary stress, ...",2026-01-17 02:31:12.592899
/watch?v=F5WusndW6DA&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@TravelTipsbyLaurie,Travel Tips by Laurie,Europe Packing List of Travel Essentials,105K,1 year,Viewer-requested video: Here is my packing list for international trip to Europe. These travel essentials are what I packed for ...,2026-01-17 02:31:12.593944
/watch?v=xzA0Ati7iDk&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@PortableProfessional,Portable Professional (Travel Tips with Megan),"BIG CHANGES for Travel to Europe in October 2025! (ETIAS, EES & UK ETA)",211K,3 months,Save 15% on the 4MYTU Tank Carry-on with code MEGAN15 here* ...,2026-01-17 02:31:12.594901
/watch?v=RRqPyysXFzQ&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@woltersworld,Wolters World,5 BIG Travel Rule Changes for 2025 - European Visas for Americans,292K,1 year,If you are traveling in 2025 there are some big changes coming to the airport and airline experience from standardized luggage to ...,2026-01-17 02:31:12.595639
/shorts/m41JiGEKP5s,/@inspiredbyhertravels,Kirsten Wendlandt,"Budapest Guide: 30+ Awesome Things to do in Budapest, Hungary! #travel #Europe",265K,2 years,30+ awesome things to do in Budapest ⬇️ This was my second time visiting Budapest and it's safe to say that this city has ...,2026-01-17 02:31:12.596283
/watch?v=IBA7vj7YmCI&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@awaytogether,Away Together w/ Nik and Allie,7 INSANELY UNDERRATED European Cities for 2026 (No Crowds!),317K,11 months,"Explore Europe WITHOUT the tourist crowds. Discover 7 lesser-known European cities that offer all the charm, culture, and history ...",2026-01-17 02:31:12.597263
/watch?v=s9iamcIFwbI&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@GreenerGrass,Jeb Brooks,Europe's ULTIMATE Luxury Train Adventure (Venice to London),730K,1 year,"Watch this video to see what it's like to travel across Europe on 12 Trains from Venice to London! But instead of taking just one, we ...",2026-01-17 02:31:12.598248
/watch?v=OvSRCGZgOHA&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@UltimateTravelists,UltimateTravelists,"5 BIG CHANGES for Travel to Europe in 2026 | EU EES, ETIAS, UK ETA & More",126K,3 months,"EU EES, ETIAS, UK ETA and more - 5 BIG CHANGES for Travel to Europe in 2026 EU Entry Exit System Don't let the new EU EES ...",2026-01-17 02:31:12.599161
/watch?v=RNx0akt3_XI&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@natgeokids,Nat Geo Kids,Europe | Destination World,1.2M,7 years,Experience the continent known as the birthplace of Western civilization in this episode of “Destination World.” Europe is the ...,2026-01-17 02:31:12.600124
/watch?v=_fWrJ4WHz_g&pp=ygUNdHJhdmVsIEV1cm9wZQ%3D%3D,/@premodernist_history,Premodernist,Time travel to medieval Europe - Q&A,808K,2 years,"I answer questions that prospective time travelers raised in my initial briefing. A followup video, ""How would a medieval European ...",2026-01-17 02:31:12.601845
/shorts/8V06zISnSyw,/@how2europe,How to Europe ,Europeans vs Americans in Europe #shorts,3.3M,2 years,"Lots of places to see, too little time! Check out my other Europe travel videos :) Shop travel products here: https://amzn.to/4hsYfH4 ...",2026-01-17 02:31:12.603133
/shorts/LZoZvM1YB0s,/@macerly,Maddie Borge,Everything you need to know about solo traveling ✈️,404K,1 year,I just got back from a soda trip to Italy so here's everything I think you should know about soda travel coming from someone who ...,2026-01-17 02:31:12.604513
