video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=IRqfYLf3Py0&pp=ygULdHJhdmVsIEFzaWE%3D,/@DownieLive,DownieLive,We took the TRAIN from Europe to Asia - Ep6,353K,3 months,"Enjoy Nebula and shows by humans for humans: https://nebula.tv/videos/downieexpress-s2e6 Follow me on IG, TikTok & Twitter: ...",2026-01-17 02:31:42.148420
/shorts/iyplfP5fezI,/@jessicaexploring,Jessica Exploring,What I Packed For 3 Months In Asia #backpacking #travelasia #packing #travel,16K,2 years,What I packed for 3 months traveling in Asia I did it! I wanted to share some travel packing tips that I live by. They've helped me ...,2026-01-17 02:31:42.149819
/watch?v=VoBBHAw4EuU&pp=ygULdHJhdmVsIEFzaWE%3D,/@touropia,touropia,25 Best Cities to Visit in Asia - Travel Video,2.3M,5 years,Check out all the cities seen in this video: https://www.touropia.com/best-cities-to-visit-in-asia/ Not only the largest continent on ...,2026-01-17 02:31:42.151676
/shorts/Uynsa0iOb78,/@nomadicnotebook,Nik + Jia,"everything we REGRET PACKING, southeast asia edition #shorts",193K,2 years,"We've been on the road now for over month living as digital nomads in Japan, Thailand, and Vietnam ✈️ Here's are the 7 things ...",2026-01-17 02:31:42.153547
/shorts/IkdANAR4_KQ,/@DudeAbroad_,Dude Abroad,Only in Asia 😅 #travel #travellife #travelasia #southeastasia #livingabroad #asia,13K,2 years,shorts #travelshorts #asiatravel.,2026-01-17 02:31:50.406934
/shorts/5GudUdAwrXs,/@LAFTraveler,LAFTraveler,My Top 5 Favorite Countries in Asia,8K,2 years,My Top 5 Favorite Countries in Asia #asia #travel #vietnam #japan #taiwan #singapore #hongkong #shorts.,2026-01-17 02:31:50.408343
/shorts/0_jijF9hKW4,/@pigallisme,pigallisme,DON’T travel to china 🙅‍♀️,2.9M,1 year,"i do recommend it, don't get butt hurt x #travel #shorts #china.",2026-01-17 02:31:50.409595
/shorts/9J_8eLCuKi8,/@TravellingWithCon,Travelling With Con,⚠️ WARNING: beware of AirAsia flights! 😳 #shorts #travel #asia #southeastasia,335K,1 year,Hi everyone - welcome to my YouTube channel @TravellingWithCon ...,2026-01-17 02:31:50.410848
/shorts/9yTX8PGPBoc,/@RosettaStone,Rosetta Stone,5 Southeast Asia Travel Tips,4K,5 months,"Want to visit #SoutheastAsia? Which country is at the top of your bucket list? And before you go, here are 5 helpful ...",2026-01-17 02:31:50.412136
/watch?v=THbBVhNwTFo&pp=ygULdHJhdmVsIEFzaWE%3D,/@SuitcaseMonkey,Suitcase Monkey,"Asia's Best Kept Secret! 4 Days in TAIPEI, TAIWAN Travel Vlog & Guide",328K,2 years,"Taipei has jumped to the top of our list for best city experiences in Asia. In this travel vlog, we share our full itinerary of what we got ...",2026-01-17 02:31:50.413988
