video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=5FVhJa-xwIQ&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@RyanShirley,Ryan Shirley,Top 10 Places To Visit in Patagonia - Travel Guide,183K,11 months,Patagonia is simply one of the most beautiful places on earth. I recently returned from traveling across Patagonia and it quickly ...,2026-01-17 02:30:23.372982
/shorts/ZvNZ2yvWhcE,/@alex.jastravel,Alex Jastravel,TOP countries in South America for TOURISM [you will be happy],17K,1 year,Top countries in South America for tourism you will be happy third place Chile the interesting thing is the capital itself in the ...,2026-01-17 02:30:23.374975
/shorts/ovzSuDfTH_Q,/@woltersworld,Wolters World,The Safest Places in South America #southamerica,25K,1 year,Where are the safest place to visit in South Amerca? Well Chile and Uruguay should be on your list of safe places to visit when ...,2026-01-17 02:30:23.376953
/watch?v=nGjrVUrOplc&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@sindyexplores,sindyexplores,PERU - What to do? | Travel Vlog South America,16K,1 year,"PERU TRAVEL VLOG! - SOUTH AMERICA Explore Peru's wonders with me! From Machu Pichhu, Sacred Valley, Cusco to Lima's ...",2026-01-17 02:30:23.379633
/watch?v=QFREGIiy9Wk&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@NationsUncoveredTravel,Nations Uncovered,SOUTH AMERICA: Exploring Its Most Iconic Places | Travel Documentary,24K,1 year,"Embark on a journey through South America! Explore the stunning landscapes of the Amazon Rainforest, the Andes Mountains, ...",2026-01-17 02:30:23.381501
/shorts/qV_sS3tqlW4,/@RetireandGo,Retire and Go,"Travel Safety, No Jewelry, South America Travel Tips, Minimalist backpacking",4.4K,1 year,Let's talk about wearing any type of jewelry when you're traveling through South America I don't like to wear anything like this I will ...,2026-01-17 02:30:32.390544
/watch?v=pHqgNqtYY4s&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@maliniangelica1,Malini Angelica,CHILE: SOUTH AMERICA'S UNSUNG HERO,226K,11 months,"Chile is South America's most modern country, it surprised me! Head to https://squarespace.com/maliniangelica to save 10% OFF ...",2026-01-17 02:30:32.391996
/shorts/pWp64_u0w_w,/@Spen-Wragg,Spencer. ,Everything I’m taking SOUTH AMERICA…#travel #ahhleshhhgo #backpacking ng,12K,1 year,It's 7 days until our backpack R South America for 4 months here's everything I'm going to be taking with me in my backpack from ...,2026-01-17 02:30:32.394184
/watch?v=ox2h3MXxvDE&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@BrianandCarrie,Brian and Carrie,2 Months in South America: The REAL Price Tag,20K,9 months,"Curious how much it really costs to travel to South America? In this video, we break down exactly what we spent exploring ...",2026-01-17 02:30:32.396343
/watch?v=uWBYoNc8xes&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@the_travel_guide,The Travel Guide,Uruguay: A South American Gem | Ultimate Travel Guide,225K,2 years,"Uruguay is a country located in the southeastern region of South America, bordered by Brazil to the north and Argentina to the ...",2026-01-17 02:30:32.399512
/watch?v=5bDjScYAWaw&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@rooot,Travel Wish Feed,How To Plan A Trip To South America: Top 20 Best Places to Visit in South America Travel Video 2021,13K,4 years,"Support us by giving us a Like, Subscribe and Share ...",2026-01-17 02:30:32.401911
/shorts/iclX7tdpazE,/@Sea2Peak,Sea2Peak,Ultimate 2 week Patagonia Itinerary  Chilean and Argentinian  Patagonia Roadtrip!,152K,1 year,Save this 2 Week Patagonia Itinerary We spent 2 weeks in Patagonia travelling by car and it was the perfect trip!,2026-01-17 02:30:32.406996
/shorts/fcuUcoj1r_8,/@KurtCaz,Kurt Caz,Colombian girl grabs me on the street! 🇨🇴,12M,2 years,Colombian Girl grabs me on the street!,2026-01-17 02:30:32.409524
/watch?v=xMv1JRyhgNg&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2HSBwkJTwoBhyohjO8%3D,/@SophieTangTravels,Sophie Tang Travels,🦥  Unveiling My Central & South America Backpacking Route!,5.3K,1 year,"Thinking about backpacking Central or South America? In this video, I break down my full backpacking route across both regions ...",2026-01-17 02:30:32.410786
/shorts/UYQ-zHUjxrQ,/@RazTheFireBender,Raz,5 tips: Female solo traveling South America.,31K,2 years,I traveled around South America for two months and here are top five things that I learned as a female Soul Traveler number one ...,2026-01-17 02:30:32.416712
/shorts/WKIXSnWrnpM,/@TripsWithDipp,Dippan and Dhiral,Peru 7-days Itinerary #peru #travel #southamerica,15K,3 months,"Save this 7 Days Peru Itinerary Peru is pure magic From ancient ruins to breathtaking mountains, every day feels like a ...",2026-01-17 02:30:32.417878
/shorts/yff1jYNp4Ss,/@ourtwostepstart,OurTwoStepStart,Top places to visit in SOUTH AMERICA #shorts #travel #southamerica,547,2 years,What do you think of our top 3 places? Did we choose right? - - #travelvlog #adventure #travelvlog #backpacking #traveling ...,2026-01-17 02:30:32.422501
